ApsimVersion = 7.10
Title = Silt rice residue field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     29/05/2001           2001            149          0.000        215.785          1.239          0.000          0.000           53.2            0.7            0.2            0.1            0.0            0.0            0.0          392.2           0.178
     30/05/2001           2001            150          1.000        214.833          1.952          0.000          0.000           53.9            0.7            0.2            0.1            0.0            0.0            0.0          383.4           0.174
     31/05/2001           2001            151          0.000        214.030          0.803          0.000          0.000           54.8            0.8            0.2            0.1            0.0            0.0            0.0          379.2           0.173
     01/06/2001           2001            152          7.000        216.369          4.171          0.489          0.000           55.6            0.7            0.2            0.1            0.0            0.0            0.0          358.6           0.164
     02/06/2001           2001            153         14.000        221.455          4.137          4.558          0.219           56.2            0.7            0.2            0.1            0.0            0.0            0.0          339.1           0.156
     03/06/2001           2001            154          8.000        222.841          4.040          1.942          0.632           56.8            0.7            0.1            0.1            0.0            0.0            0.0          320.6           0.148
     04/06/2001           2001            155          0.000        218.994          2.960          0.000          0.887           57.4            0.7            0.2            0.1            0.0            0.0            0.0          306.8           0.142
     05/06/2001           2001            156          1.000        216.717          2.243          0.000          1.034           58.0            0.7            0.2            0.1            0.0            0.0            0.0          296.2           0.138
     06/06/2001           2001            157         77.000        227.308          4.116         61.168          1.125           58.4            0.6            0.1            0.1            0.0            0.0            0.0          280.1           0.131
     07/06/2001           2001            158         63.000        233.005          4.098         51.972          1.233           58.6            0.6            0.1            0.1            0.0            0.0            0.0          264.8           0.124
     08/06/2001           2001            159         27.000        236.870          4.068         17.676          1.392           58.7            0.6            0.1            0.1            0.0            0.0            0.0          250.4           0.118
     09/06/2001           2001            160         20.000        239.630          4.105         11.532          1.603           58.9            0.6            0.1            0.1            0.0            0.0            0.0          236.8           0.112
     10/06/2001           2001            161         66.000        244.093          4.191         55.463          1.883           59.0            0.6            0.1            0.1            0.0            0.0            0.0          223.9           0.106
     11/06/2001           2001            162          0.000        239.103          2.815          0.000          2.174           59.3            0.6            0.1            0.1            0.0            0.0            0.0          214.7           0.102
     12/06/2001           2001            163          0.000        235.437          1.241          0.000          2.425           59.8            0.6            0.1            0.1            0.0            0.0            0.0          208.4           0.099
     13/06/2001           2001            164          0.000        231.880          0.953          0.000          2.604           60.4            0.7            0.2            0.1            0.0            0.0            0.0          204.7           0.097
     14/06/2001           2001            165         76.000        239.515          4.044         61.613          2.709           60.7            0.6            0.1            0.1            0.0            0.0            0.0          193.6           0.092
     15/06/2001           2001            166        153.000        243.254          4.084        142.393          2.783           60.9            0.6            0.1            0.1            0.0            0.0            0.0          183.1           0.087
     16/06/2001           2001            167         35.000        245.259          4.130         26.006          2.860           61.1            0.5            0.1            0.1            0.0            0.0            0.0          173.1           0.083
     17/06/2001           2001            168         76.000        247.985          4.142         66.171          2.962           61.2            0.5            0.1            0.1            0.0            0.0            0.0          163.7           0.079
     18/06/2001           2001            169         16.000        248.048          4.097          8.762          3.078           61.3            0.5            0.1            0.1            0.0            0.0            0.0          154.8           0.074
     19/06/2001           2001            170         25.000        248.794          4.160         16.894          3.200           61.4            0.5            0.1            0.1            0.0            0.0            0.0          146.4           0.071
     20/06/2001           2001            171         69.000        250.702          4.137         59.625          3.329           61.5            0.5            0.1            0.1            0.0            0.0            0.0          138.4           0.067
     21/06/2001           2001            172         29.000        251.223          4.216         20.804          3.458           61.6            0.5            0.1            0.1            0.0            0.0            0.0          130.9           0.063
     22/06/2001           2001            173         26.000        251.348          4.232         18.067          3.577           61.8            0.5            0.1            0.1            0.0            0.0            0.0          123.8           0.060
     23/06/2001           2001            174          0.000        244.910          2.777          0.000          3.661           62.1            0.6            0.1            0.1            0.0            0.0            0.0          118.8           0.058
     24/06/2001           2001            175          3.000        239.980          4.100          0.140          3.690           62.6            0.6            0.1            0.1            0.0            0.0            0.0          114.4           0.056
     25/06/2001           2001            176          0.000        235.376          0.952          0.000          3.652           63.2            0.7            0.2            0.1            0.0            0.0            0.0          111.6           0.054
     26/06/2001           2001            177          3.000        231.027          3.780          0.024          3.546           64.0            0.7            0.2            0.1            0.0            0.0            0.0          109.3           0.053
     27/06/2001           2001            178         83.000        237.466          4.230         68.943          3.387           64.4            0.6            0.1            0.1            0.0            0.0            0.0          103.4           0.050
     28/06/2001           2001            179          0.000        231.494          2.778          0.000          3.194           65.1            0.7            0.1            0.1            0.0            0.0            0.0           99.1           0.048
     29/06/2001           2001            180          8.000        229.645          4.420          2.448          2.981           65.7            0.6            0.1            0.1            0.0            0.0            0.0           93.8           0.046
