ApsimVersion = 7.8
Title = Silt Fallow field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     27/04/2001           2001            117          0.000        177.896          0.169          0.000          0.000           75.0            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     28/04/2001           2001            118          0.000        177.728          0.168          0.000          0.000           75.4            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     29/04/2001           2001            119          0.000        177.562          0.167          0.000          0.000           75.9            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     30/04/2001           2001            120          0.000        177.396          0.166          0.000          0.000           76.3            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     01/05/2001           2001            121          8.000        181.070          4.192          0.134          0.000           77.0            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     02/05/2001           2001            122          0.000        180.880          0.190          0.000          0.000           77.7            0.3            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     03/05/2001           2001            123          6.000        182.647          4.205          0.028          0.000           78.4            0.4            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     04/05/2001           2001            124         83.000        201.345          4.273         60.028          0.000           79.0            0.5            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     05/05/2001           2001            125          0.000        200.187          1.159          0.000          0.000           79.8            0.6            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     06/05/2001           2001            126          1.000        199.272          1.915          0.000          0.000           80.6            0.6            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     07/05/2001           2001            127          0.000        198.492          0.780          0.000          0.000           81.4            0.5            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     08/05/2001           2001            128         69.000        204.852          4.006         58.633          0.000           82.0            0.5            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     09/05/2001           2001            129         54.000        207.804          4.177         46.871          0.000           82.5            0.5            0.1            0.1            0.0            0.0            0.0            0.0           0.000
     10/05/2001           2001            130          0.000        204.976          2.828          0.000          0.000           83.1            0.5            0.1            0.1            0.0            0.0            0.0            0.0           0.000
     11/05/2001           2001            131         43.000        209.206          4.149         34.621          0.000           83.6            0.5            0.1            0.1            0.0            0.0            0.0            0.0           0.000
     12/05/2001           2001            132         64.000        212.276          4.164         56.766          0.000           84.0            0.4            0.1            0.1            0.0            0.0            0.0            0.0           0.000
     13/05/2001           2001            133          0.000        209.436          2.840          0.000          0.000           84.6            0.5            0.1            0.1            0.0            0.0            0.0            0.0           0.000
     14/05/2001           2001            134          0.000        208.194          1.241          0.000          0.000           85.3            0.5            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     15/05/2001           2001            135          0.000        207.234          0.953          0.000          0.008           86.1            0.5            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     16/05/2001           2001            136          0.000        206.402          0.804          0.000          0.029           87.0            0.6            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     17/05/2001           2001            137          0.000        205.634          0.708          0.000          0.060           87.9            0.6            0.2            0.1            0.0            0.0            0.0            0.0           0.000
