ApsimVersion = 7.4
Title = Effluent-irrigated Eucalypt Forest Block
           Date            esw            lai   adm_green(1)   adm_green(2)   adm_green(3)             fw             fn         plants          no3()          nh4()           cl()          drain    no3_leached     irrigation irrigation_no3
   (dd/mm/yyyy)           (mm)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)          (0-1)          (0-1)          (/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)           (mm)        (kg/ha)
     12/06/1980        174.050          0.296           97.6           33.0           14.9          1.000          0.997       1111.000          202.8            1.1          740.0          0.000            0.0          0.000            0.0
     13/06/1980        173.484          0.297           98.2           33.2           15.0          1.000          0.997       1111.000          202.8            1.2          740.0          0.000            0.0          0.000            0.0
     14/06/1980        172.911          0.299           99.1           33.5           15.1          1.000          0.997       1111.000          202.9            1.2          740.0          0.000            0.0          0.000            0.0
     15/06/1980        172.319          0.301          100.3           33.9           15.3          1.000          0.997       1111.000          202.9            1.2          740.0          0.000            0.0          0.000            0.0
     16/06/1980        171.745          0.304          101.8           34.4           15.5          1.000          0.995       1111.000          202.9            1.2          740.0          0.000            0.0          0.000            0.0
     17/06/1980        171.159          0.308          103.7           35.0           15.8          1.000          0.994       1111.000          203.0            1.2          740.0          0.000            0.0          0.000            0.0
     18/06/1980        170.668          0.309          104.6           35.4           16.0          1.000          0.993       1111.000          203.0            1.2          740.0          0.000            0.0          0.000            0.0
     19/06/1980        170.162          0.311          105.7           35.7           16.1          1.000          0.996       1111.000          203.0            1.2          740.0          0.000            0.0          0.000            0.0
     20/06/1980        169.624          0.314          107.1           36.2           16.3          1.000          0.996       1111.000          203.1            1.2          740.0          0.000            0.0          0.000            0.0
     21/06/1980        169.095          0.316          108.6           36.7           16.6          1.000          0.994       1111.000          203.1            1.2          740.0          0.000            0.0          0.000            0.0
     22/06/1980        168.577          0.319          110.0           37.2           16.8          1.000          0.995       1111.000          203.2            1.2          740.0          0.000            0.0          0.000            0.0
     23/06/1980        168.068          0.322          111.6           37.7           17.0          1.000          0.995       1111.000          203.2            1.2          740.0          0.000            0.0          0.000            0.0
     24/06/1980        167.568          0.324          113.1           38.2           17.2          1.000          0.995       1111.000          203.3            1.1          740.0          0.000            0.0          0.000            0.0
     25/06/1980        167.029          0.328          115.1           38.9           17.6          1.000          0.995       1111.000          203.3            1.1          740.0          0.000            0.0          0.000            0.0
     26/06/1980        166.500          0.332          117.1           39.6           17.9          1.000          0.993       1111.000          203.3            1.1          740.0          0.000            0.0          0.000            0.0
     27/06/1980        165.950          0.335          119.2           40.3           18.2          1.000          0.993       1111.000          203.4            1.1          740.0          0.000            0.0          0.000            0.0
     28/06/1980        167.756          0.337          120.0           40.5           18.3          1.000          0.993       1111.000          203.4            1.1          740.0          0.000            0.0          0.000            0.0
     29/06/1980        165.926          0.338          121.0           40.9           18.4          1.000          0.997       1111.000          203.5            1.1          740.0          0.000            0.0          0.000            0.0
     30/06/1980        165.436          0.340          122.3           41.3           18.7          1.000          0.997       1111.000          203.6            1.1          740.0          0.000            0.0          0.000            0.0
     01/07/1980        165.053          0.342          123.1           41.6           18.8          1.000          0.996       1111.000          203.6            1.1          740.0          0.000            0.0          0.000            0.0
     02/07/1980        172.619          0.342          123.5           41.7           18.8          1.000          0.998       1111.000          203.6            1.0          740.0          0.000            0.0          0.000            0.0
