ApsimVersion = 7.0
Title = Potato
           Date        biomass            lai    LeafGreenWt    StemGreenWt   TuberGreenWt          st(1)         plants        node_no     node_no_fx     LeafGreenN
             ()        (kg/ha)      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (oC)   (plants/m^2)       (/plant)       (/plant)        (g/m^2)
     31/07/1988         1784.5          1.180          44.91          74.00          46.88         16.344          5.000         11.000          6.000           2.33
     01/08/1988         1822.0          1.241          46.47          75.44          49.70         16.985          5.000         11.000          6.000           2.41
     02/08/1988         1873.6          1.331          48.89          77.41          53.64         17.555          5.000         11.000          6.000           2.52
     03/08/1988         1933.3          1.440          51.84          79.69          58.29         18.401          5.000         12.000          6.000           2.65
     04/08/1988         2003.1          1.569          55.40          82.37          63.79         19.305          5.000         12.000          7.000           2.82
     05/08/1988         2060.4          1.672          58.21          84.56          68.38         20.283          5.000         12.000          7.000           2.97
     06/08/1988         2080.6          1.678          58.14          85.33          70.02         19.687          5.000         12.000          7.000           3.03
     07/08/1988         2102.4          1.704          58.77          86.17          71.81         18.218          5.000         12.000          7.000           3.08
     08/08/1988         2128.3          1.734          59.47          87.16          73.95         16.342          5.000         13.000          7.000           3.12
     09/08/1988         2153.7          1.777          60.64          88.14          76.06         14.355          5.000         13.000          7.000           3.19
     10/08/1988         2196.0          1.853          62.73          89.76          79.61         13.170          5.000         13.000          7.000           3.28
     11/08/1988         2253.9          1.959          65.66          91.98          84.54         13.942          5.000         13.000          7.000           3.40
     12/08/1988         2316.3          2.073          68.81          94.37          89.92         15.249          5.000         13.000          7.000           3.54
     13/08/1988         2380.9          2.165          72.08          96.85          95.57         16.655          5.000         13.000          7.000           3.70
     14/08/1988         2449.5          2.226          75.57          99.49         101.67         18.041          5.000         14.000          7.000           3.87
     15/08/1988         2514.1          2.260          78.76         101.96         107.49         18.902          5.000         14.000          8.000           4.03
     16/08/1988         2592.9          2.276          81.85         105.91         116.91         19.603          5.000         14.000          8.000           4.13
     17/08/1988         2669.9          2.290          84.68         109.92         126.63         20.386          5.000         14.000          8.000           4.19
     18/08/1988         2729.4          2.262          85.81         112.21         132.27         20.825          5.000         15.000          8.000           4.16
     19/08/1988         2781.1          2.254          87.00         114.19         137.27         20.795          5.000         15.000          8.000           4.17
     20/08/1988         2842.1          2.254          89.13         116.75         143.80         20.746          5.000         15.000          8.000           4.19
     21/08/1988         2913.8          2.251          90.87         120.81         154.34         20.909          5.000         15.000          8.000           4.18
     22/08/1988         2939.6          2.244          90.69         121.80         156.96         20.144          5.000         16.000          8.000           4.15
     23/08/1988         2992.0          2.241          92.08         123.81         162.41         19.792          5.000         16.000          9.000           4.12
     24/08/1988         3013.1          2.234          92.41         124.62         164.62         18.600          5.000         16.000          9.000           4.12
     25/08/1988         3057.2          2.226          93.21         127.04         171.34         17.954          5.000         16.000          9.000           4.10
     26/08/1988         3108.1          2.214          93.98         129.91         179.43         17.144          5.000         16.000          9.000           4.06
     27/08/1988         3162.8          2.197          94.60         133.03         188.42         17.481          5.000         17.000          9.000           4.01
     28/08/1988         3195.9          2.148          93.43         134.60         193.00         16.780          5.000         17.000          9.000           3.90
     29/08/1988         3233.5          2.113          92.67         136.98         200.01         17.429          5.000         17.000          9.000           3.82
     30/08/1988         3277.8          2.089          92.44         139.90         208.77         17.863          5.000         17.000          9.000           3.76
     31/08/1988         3326.9          2.059          91.98         143.26         219.02         18.176          5.000         17.000          9.000           3.68
     01/09/1988         3370.9          2.023          91.21         146.11         227.93         18.144          5.000         18.000         10.000           3.59
     02/09/1988         3414.0          1.982          90.12         149.03         237.23         19.229          5.000         18.000         10.000           3.50
     03/09/1988         3453.6          1.944          88.94         151.91         246.58         20.454          5.000         18.000         10.000           3.41
     04/09/1988         3495.9          1.902          87.57         155.15         257.35         21.063          5.000         19.000         10.000           3.33
     05/09/1988         3535.0          1.864          86.27         158.18         267.59         21.244          5.000         19.000         10.000           3.24
     06/09/1988         3548.9          1.788          83.11         158.85         269.91         20.298          5.000         19.000         10.000           3.10
     07/09/1988         3573.8          1.694          79.14         160.57         275.97         19.767          5.000         19.000         10.000           2.93
     08/09/1988         3610.4          1.655          77.60         163.66         287.09         19.537          5.000         20.000         10.000           2.85
     09/09/1988         3642.1          1.615          76.07         166.23         296.52         19.402          5.000         20.000         11.000           2.77
     10/09/1988         3670.0          1.575          74.41         168.55         305.27         19.482          5.000         20.000         11.000           2.70
     11/09/1988         3696.5          1.534          72.67         170.79         313.85         21.137          5.000         20.000         11.000           2.62
     12/09/1988         3716.5          1.487          70.65         172.38         320.11         21.823          5.000         21.000         12.000           2.53
     13/09/1988         3737.3          1.452          69.14         174.19         327.39         20.940          5.000         21.000         12.000           2.47
     14/09/1988         3761.1          1.417          67.59         176.31         336.09         20.378          5.000         21.000         12.000           2.41
     15/09/1988         3783.8          1.340          64.04         178.32         344.48         19.923          5.000         21.000         12.000           2.27
