ApsimVersion = 7.4
Title = TemperateGrassEstablished daily
           Date           year            day      phenology         growth        leaf_dm        stem_dm      litter_dm          rtdep         urea()      cover_tot   uptake_nh4()          nh4()   uptake_no3()          no3()      nit_tot()       glf_nitr         glf_sm        glf_tmp        glf_vpd     removed_dm       avail_dm
   (dd/mm/yyyy)         (year)          (day)            (-)      (kg/ha/d)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)      (m^2/m^2)      (kg/ha/d)        (kg/ha)      (kg/ha/d)        (kg/ha)        (kg/ha)            (-)            (-)            (-)            (-)             ()        (kg/ha)
     18/04/1954           1954            108          1.218          0.000          880.1          391.8          251.2        601.505            0.0          0.662          0.001            7.5          0.042           67.5         7914.0          1.000          0.052          1.000          1.000         40.023          653.6
     19/04/1954           1954            109          1.220         42.896          872.5          389.2          247.2        601.505            0.0          0.661          0.075            7.6          1.470           67.5         7914.0          1.000          1.000          1.000          0.839         40.023          646.5
     20/04/1954           1954            110          1.222          0.000          899.1          400.4          243.2        610.936            0.0          0.679          0.004            7.6          0.125           66.0         7912.5          1.000          0.055          1.000          1.000         40.023          687.5
     21/04/1954           1954            111          1.223          0.000          890.1          397.0          239.4        610.936            0.0          0.677          0.004            7.6          0.107           65.9         7912.3          1.000          0.055          1.000          1.000         40.023          678.1
     22/04/1954           1954            112          1.225          0.000          881.5          393.6          235.6        610.936            0.0          0.676          0.004            7.7          0.098           65.8         7912.2          1.000          0.054          1.000          1.000         40.023          669.2
     23/04/1954           1954            113          1.226          0.000          873.0          390.3          232.0        610.936            0.0          0.674          0.004            7.8          0.091           65.7         7912.1          1.000          0.054          1.000          1.000         40.023          660.5
     24/04/1954           1954            114          1.228          0.000          864.9          387.1          228.4        610.936            0.0          0.673          0.004            7.8          0.083           65.6         7912.0          1.000          0.053          1.000          1.000         40.023          652.1
     25/04/1954           1954            115          1.229          0.000          857.0          383.9          224.9        610.936            0.0          0.672          0.003            7.9          0.076           65.5         7911.9          1.000          0.053          1.000          1.000         40.023          644.1
     26/04/1954           1954            116          1.231          0.000          849.5          380.8          221.5        610.936            0.0          0.671          0.003            8.0          0.070           65.4         7911.8          1.000          0.052          1.000          1.000         40.023          636.4
     27/04/1954           1954            117          1.232          0.000          842.3          377.9          218.2        610.936            0.0          0.670          0.003            8.0          0.064           65.4         7911.8          1.000          0.052          1.000          1.000         40.023          629.1
     28/04/1954           1954            118          1.234          0.000          834.8          374.7          215.0        610.936            0.0          0.668          0.003            8.1          0.057           65.3         7911.7          1.000          0.052          1.000          1.000         40.023          621.2
     29/04/1954           1954            119          1.236          0.000          827.3          371.3          211.8        610.936            0.0          0.667          0.003            8.2          0.051           65.2         7911.6          1.000          0.051          1.000          1.000         40.023          613.2
     30/04/1954           1954            120          1.237          0.000          819.9          368.0          208.7        610.936            0.0          0.666          0.003            8.3          0.047           65.2         7911.6          1.000          0.051          1.000          1.000         40.023          605.2
     01/05/1954           1954            121          1.238          0.000          813.5          365.2          205.7        610.936            0.0          0.665          0.003            8.3          0.043           65.1         7911.5          1.000          0.051          1.000          1.000         40.023          598.7
     02/05/1954           1954            122          1.239          0.000          808.0          363.0          202.8        610.936            0.0          0.665          0.003            8.4          0.041           65.1         7911.5          1.000          0.051          1.000          1.000         40.023          593.5
     03/05/1954           1954            123          1.240          0.000          802.7          360.9          199.9        610.936            0.0          0.664          0.002            8.4          0.038           65.1         7911.5          1.000          0.051          1.000          1.000         40.023          588.8
     04/05/1954           1954            124          1.241          0.000          797.4          358.7          197.1        610.936            0.0          0.663          0.002            8.5          0.035           65.0         7911.4          1.000          0.051          1.000          1.000         40.023          583.7
     05/05/1954           1954            125          1.242         34.788          791.7          356.2          194.4        610.936            0.0          0.663          0.121            8.5          1.113           65.0         7911.4          1.000          1.000          1.000          0.821         40.023          578.0
     06/05/1954           1954            126          1.243          0.000          813.7          364.9          191.7        617.745            0.0          0.677          0.008            8.5          0.104           63.9         7910.1          1.000          0.055          1.000          1.000         40.023          611.1
     07/05/1954           1954            127          1.244          0.000          808.5          362.8          189.1        617.745            0.0          0.676          0.008            8.5          0.095           63.8         7910.0          1.000          0.055          1.000          1.000         40.023          606.2
     08/05/1954           1954            128          1.246          0.000          803.4          360.8          186.6        617.745            0.0          0.675          0.007            8.5          0.089           63.2         7910.1          1.000          0.055          1.000          1.000         40.023          601.3
     09/05/1954           1954            129          1.246          0.000          797.8          358.3          205.4        617.745            0.0          0.679          0.002            8.6          0.091           62.9         7910.1          1.000          0.056          1.000          1.000         40.023          595.6
     10/05/1954           1954            130          1.247          0.000          793.1          356.5          202.8        617.745            0.0          0.678          0.002            8.6          0.087           62.5         7910.1          1.000          0.056          1.000          1.000         40.023          589.1
     11/05/1954           1954            131          1.248          0.000          788.6          354.8          200.3        617.745            0.0          0.678          0.003            8.7          0.082           62.2         7910.1          1.000          0.057          1.000          1.000         40.023          583.2
     12/05/1954           1954            132          1.249          0.000          784.0          353.0          197.8        617.745            0.0          0.677          0.003            8.7          0.078           61.9         7910.1          1.000          0.057          1.000          1.000         40.023          577.4
     13/05/1954           1954            133          1.250          0.000          779.1          351.0          195.4        617.745            0.0          0.676          0.003            8.8          0.073           61.5         7910.1          1.000          0.057          1.000          1.000         40.023          571.3
     14/05/1954           1954            134          1.251          0.000          774.1          348.8          192.9        617.745            0.0          0.675          0.003            8.8          0.067           61.1         7910.1          1.000          0.058          1.000          1.000         40.023          564.8
     15/05/1954           1954            135          1.253          0.000          769.0          346.6          190.5        617.745            0.0          0.675          0.003            8.9          0.062           60.7         7910.2          1.000          0.058          1.000          1.000         40.023          558.4
     16/05/1954           1954            136          1.254          0.000          763.8          344.2          188.1        617.745            0.0          0.674          0.003            8.9          0.057           60.3         7910.2          1.000          0.059          1.000          1.000         40.023          551.8
