ApsimVersion = 7.10
Title = Wether in pasture crop rotation_WheatPaddock_DailyOutput.out
             Date          biomass    green_biomass animals_paddock[1] animals_paddock[2] animals_paddock[3]        cover_tot  surfaceom_cover
     (dd/MM/yyyy)          (kg/ha)          (kg/ha)                 ()                 ()                 ()               ()        (m^2/m^2)
       09/09/1990          3055.53          3001.12     pasturepaddock                  ?                  ?             0.84             0.03
       10/09/1990          3263.05          3204.90     pasturepaddock                  ?                  ?             0.85             0.03
       11/09/1990          3473.27          3411.29     pasturepaddock                  ?                  ?             0.86             0.03
       12/09/1990          3568.90          3502.38     pasturepaddock                  ?                  ?             0.87             0.03
       13/09/1990          3632.87          3562.70     pasturepaddock                  ?                  ?             0.87             0.03
       14/09/1990          3793.13          3718.97     pasturepaddock                  ?                  ?             0.87             0.03
       15/09/1990          4018.60          3940.43     pasturepaddock                  ?                  ?             0.88             0.03
       16/09/1990          4234.66          4152.77     pasturepaddock                  ?                  ?             0.88             0.03
       17/09/1990          4462.64          4376.95     pasturepaddock                  ?                  ?             0.89             0.03
       18/09/1990          4691.59          4601.73     pasturepaddock                  ?                  ?             0.89             0.03
       19/09/1990          4910.39          4815.70     pasturepaddock                  ?                  ?             0.89             0.03
       20/09/1990          5063.91          4961.42     pasturepaddock                  ?                  ?             0.89             0.03
       21/09/1990          5261.34          5152.16     pasturepaddock                  ?                  ?             0.89             0.03
       22/09/1990          5442.05          5328.24     pasturepaddock                  ?                  ?             0.89             0.03
       23/09/1990          5672.51          5552.77     pasturepaddock                  ?                  ?             0.89             0.03
       24/09/1990          5891.93          5765.38     pasturepaddock                  ?                  ?             0.89             0.03
       25/09/1990          6078.24          5943.14     pasturepaddock                  ?                  ?             0.89             0.03
       26/09/1990          6253.34          6110.54     pasturepaddock                  ?                  ?             0.89             0.03
       27/09/1990          6504.74          6356.81     pasturepaddock                  ?                  ?             0.89             0.03
       28/09/1990          6762.91          6609.94     pasturepaddock                  ?                  ?             0.89             0.03
       29/09/1990          7013.88          6854.74     pasturepaddock                  ?                  ?             0.89             0.03
       30/09/1990          7210.09          7043.37     pasturepaddock                  ?                  ?             0.89             0.03
       01/10/1990          7416.93          7243.33     pasturepaddock                  ?                  ?             0.89             0.03
       02/10/1990          7645.30          7456.93     pasturepaddock                  ?                  ?             0.89             0.03
       03/10/1990          7873.69          7664.65     pasturepaddock                  ?                  ?             0.89             0.03
       04/10/1990          8051.82          7790.63     pasturepaddock                  ?                  ?             0.89             0.03
       05/10/1990          8158.82          7897.63     pasturepaddock                  ?                  ?             0.89             0.03
       06/10/1990          8404.91          8143.72     pasturepaddock                  ?                  ?             0.89             0.02
       07/10/1990          8607.47          8312.22     pasturepaddock                  ?                  ?             0.89             0.02
       08/10/1990          8713.74          8418.49     pasturepaddock                  ?                  ?             0.89             0.02
       09/10/1990          8894.40          8599.14     pasturepaddock                  ?                  ?             0.89             0.02
       10/10/1990          9094.53          8776.54     pasturepaddock                  ?                  ?             0.88             0.02
       11/10/1990          9284.90          8966.91     pasturepaddock                  ?                  ?             0.88             0.02
       12/10/1990          9538.74          9220.75     pasturepaddock                  ?                  ?             0.88             0.02
       13/10/1990          9764.37          9418.44     pasturepaddock                  ?                  ?             0.88             0.02
